block_group,avg_cost_per_mbps,max_cost_per_mbps,number_of_addresses,holc_grade
60371210202,0.7333333333333333,0.7333333333333333,1,E
60371222002,5.5,5.5,1,E
60371233012,0.55,0.55,1,E
60371272102,0.18333333333333332,0.18333333333333332,1,E
60371415001,1.1,1.1,1,E
60371416001,2.3466666666666653,11.0,25,E
60371416003,57.931985294117645,71.61458333333333,17,E
60371437001,9.44450904392765,71.61458333333333,43,E
60371437002,29.84055555555555,71.61458333333333,20,E
60371439011,2.207638888888889,3.0555555555555554,8,B
60371439012,1.8944444444444444,3.0555555555555554,2,E
60371810001,46.18811728395061,71.61458333333333,27,E
60371810002,48.17291666666666,71.61458333333333,22,A
60371810003,34.42445175438596,71.61458333333333,19,B
60371810004,40.657986111111114,71.61458333333333,18,B
60371810005,26.68992248062014,71.61458333333333,43,A
60371813001,12.187369791666669,71.61458333333333,32,C
60371813002,29.104166666666668,71.61458333333333,7,C
60371813003,34.789735772357716,71.61458333333333,41,B
60371814001,6.3043010752688176,55.0,31,C
60371814002,0.8682870370370374,3.0555555555555554,24,C
60371814003,28.8917328042328,71.61458333333333,21,C
60371815001,4.072376543209876,55.0,36,C
60371815002,3.2877777777777775,11.0,45,C
60371815003,4.625238095238093,11.0,35,C
60371816001,1.7722222222222217,11.0,30,C
60371816002,9.617154654654655,71.61458333333333,37,C
60371831011,6.3,11.0,11,C
60371831012,1.6683333333333332,11.0,30,C
60371831013,2.511921296296296,11.0,48,C
60371831031,12.222222222222221,55.0,18,C
60371831032,0.9064814814814816,3.0555555555555554,24,D
60371831041,4.5049903100775195,71.61458333333333,43,E
60371832201,1.1000000000000003,2.2,23,C
60371832202,3.772592592592593,11.0,30,C
60371832203,2.5972222222222228,11.0,22,C
60371832211,8.330409356725147,11.0,19,C
60371832212,1.6446859903381639,11.0,46,C
60371832221,2.6057777777777784,11.0,25,C
60371832222,2.7100427350427343,11.0,26,C
60371832223,2.0690476190476197,11.0,14,C
60371833001,0.18333333333333332,0.18333333333333332,12,C
60371833002,1.651340996168582,5.5,29,C
60371833003,1.1407407407407408,11.0,33,C
60371834011,1.1055555555555556,5.5,33,C
60371834012,0.7944444444444446,3.0555555555555554,30,C
60371834021,0.4175925925925926,1.1,18,C
60371834022,0.6454861111111113,3.0555555555555554,32,C
60371835101,4.833597883597884,55.0,84,C
60371835102,1.8976608187134507,5.5,19,C
60371835201,4.685185185185185,5.5,9,C
60371835202,6.131481481481482,11.0,9,C
60371836101,6.345370370370371,11.0,18,C
60371836102,7.256944444444445,11.0,16,C
